"ID","band","word","Pos","field"
352,1,"move","v",""
353,1,"source","n",""
354,1,"story","n",""
355,1,"why","r",""
356,1,"reason","n",""
357,1,"themselves","p",""
358,1,"according","i",""
359,1,"line","n",""
360,1,"nature","n",""
361,1,"site","n",""
362,1,"cultural","j",""
363,1,"court","n","Law"
364,1,"serve","v",""
365,1,"skill","n","Edu"
366,1,"back","r",""
367,1,"where","r",""
368,1,"resource","n",""
369,1,"sense","n",""
370,1,"century","n",""
371,1,"today","r",""
372,1,"out","i",""
373,1,"strategy","n",""
374,1,"change","v",""
375,1,"on","r",""
376,1,"cost","n",""
377,1,"long","r",""
378,1,"theory","n",""
379,1,"product","n",""
380,1,"method","n",""
381,1,"goal","n",""
382,1,"teach","v","Edu"
383,1,"much","r",""
384,1,"position","n",""
385,1,"white","j",""
386,1,"likely","j",""
387,1,"note","v",""
388,1,"well","i",""
389,1,"president","n",""
390,1,"represent","v",""
391,1,"play","v",""
392,1,"over","r",""
393,1,"party","n","His+Law"
394,1,"nation","n",""
395,1,"care","n","Soc+Med"
396,1,"turn","v",""
397,1,"month","n",""
398,1,"set","v",""
399,1,"risk","n","Med"
400,1,"general","j",""
401,1,"decision","n",""
402,1,"food","n","Med"
403,1,"article","n",""
404,1,"event","n",""
405,1,"course","n","Edu"
406,1,"so","c",""
407,1,"especially","r",""
408,1,"similar","j",""
409,1,"color","n",""
410,1,"itself","p",""
411,1,"environment","n",""
412,1,"language","n",""
413,1,"determine","v",""
414,1,"treatment","n","Med"
415,1,"structure","n",""
416,1,"section","n",""
417,1,"always","r",""
418,1,"common","j",""
419,1,"start","v",""
420,1,"occur","v",""
421,1,"current","j",""
422,1,"available","j",""
423,1,"meet","v",""
424,1,"present","v",""
425,1,"five","m",""
426,1,"religious","j","Rel"
427,1,"next","m",""
428,1,"personal","j",""
429,1,"explain","v",""
430,1,"term","n",""
431,1,"something","p",""
432,1,"energy","n",""
433,1,"reduce","v",""
434,1,"ability","n","Edu"
435,1,"add","v",""
436,1,"long","j",""
437,1,"build","v",""
438,1,"measure","n",""
439,1,"read","v",""
440,1,"able","j",""
441,1,"after","c",""
442,1,"involve","v",""
443,1,"movement","n",""
444,1,"job","n",""
445,1,"recent","j",""
446,1,"specific","j",""
447,1,"drug","n","Soc+Med"
448,1,"kind","n",""
449,1,"almost","r",""
450,1,"focus","v",""
451,1,"side","n",""
452,1,"than","i",""
453,1,"strong","j",""
454,1,"region","n",""
455,1,"relate","v",""
456,1,"opportunity","n",""
457,1,"there","r",""
458,1,"worker","n",""
459,1,"individual","j",""
460,1,"space","n",""
461,1,"evidence","n",""
462,1,"perhaps","r",""
463,1,"leader","n",""
464,1,"quality","n",""
465,1,"later","r",""
466,1,"only","j",""
467,1,"establish","v",""
468,1,"big","j",""
469,1,"land","n",""
470,1,"author","n",""
471,1,"sample","n",""
472,1,"seek","v",""
473,1,"compare","v",""
474,1,"again","r",""
475,1,"run","v",""
476,1,"growth","n",""
477,1,"institution","n","Edu"
478,1,"price","n",""
479,1,"situation","n",""
480,1,"natural","j",""
481,1,"various","j",""
482,1,"report","n",""
483,1,"real","j",""
484,1,"score","n","Edu+Soc"
485,1,"upon","i",""
486,1,"together","r",""
487,1,"once","r",""
488,1,"standard","n",""
489,1,"team","n",""
490,1,"example","n",""
491,1,"already","r",""
492,1,"pay","v",""
493,1,"best","j",""
494,1,"money","n",""
495,1,"management","n",""
496,1,"scale","n",""
497,1,"across","i",""
498,1,"argue","v",""
499,1,"degree","n",""
500,2,"house","n",""
501,2,"design","n",""
502,2,"computer","n",""
503,2,"plan","n",""
504,2,"per","i",""
505,2,"concern","n",""
506,2,"training","n","Edu+Med"
507,2,"state","v",""
508,2,"therefore","r",""
509,2,"examine","v",""
510,2,"rule","n",""
511,2,"pattern","n",""
512,2,"industry","n",""
513,2,"because","i",""
514,2,"special","j","Edu"
515,2,"item","n","Edu+Soc"
516,2,"around","i",""
517,2,"researcher","n",""
518,2,"expect","v",""
519,2,"certain","j",""
520,2,"task","n",""
521,2,"foreign","j","His+Law"
522,2,"traditional","j",""
523,2,"security","n",""
524,2,"week","n","Med"
525,2,"finding","n",""
526,2,"positive","j",""
527,2,"department","n",""
528,2,"central","j",""
529,2,"act","n",""
530,2,"lose","v",""
531,2,"grow","v",""
532,2,"until","c",""
533,2,"cause","v",""
534,2,"matter","n",""
535,2,"impact","n",""
536,2,"less","d",""
537,2,"text","n","Hum"
538,2,"reflect","v",""
539,2,"learning","n","Edu"
540,2,"order","n",""
541,2,"whose","d",""
542,2,"free","j",""
543,2,"name","n",""
544,2,"recognize","v",""
545,2,"star","n","Sci"
546,2,"context","n",""
547,2,"either","r",""
548,2,"variable","n","Edu+Soc"
549,2,"disease","n","Med"
550,2,"rather","i",""
551,2,"relation","n",""
552,2,"species","n","Sci"
553,2,"maintain","v",""
554,2,"African","j",""
555,2,"concept","n",""
556,2,"death","n",""
557,2,"plant","n","Sci"
558,2,"discussion","n",""
559,2,"size","n",""
560,2,"hour","n",""
561,2,"associate","v",""
562,2,"third","m",""
563,2,"difficult","j",""
564,2,"attention","n",""
565,2,"office","n",""
566,2,"along","i",""
567,2,"design","v",""
568,2,"simply","r",""
569,2,"particularly","r",""
570,2,"sexual","j","Soc"
571,2,"purpose","n",""
572,2,"address","v",""
573,2,"her","p",""
574,2,"define","v",""
575,2,"mother","n",""
576,2,"identity","n",""
577,2,"economy","n",""
578,2,"particular","j",""
579,2,"choose","v",""
580,2,"benefit","n",""
581,2,"clear","j",""
582,2,"survey","n",""
583,2,"effective","j",""
584,2,"apply","v",""
585,2,"reach","v",""
586,2,"contain","v",""
587,2,"even","c",""
588,2,"really","r",""
589,2,"federal","j","Law"
590,2,"success","n",""
591,2,"speak","v",""
592,2,"spend","v",""
593,2,"understanding","n",""
594,2,"production","n",""
595,2,"form","v",""
596,2,"place","v",""
597,2,"association","n",""
598,2,"off","r",""
599,2,"late","j",""
600,2,"reveal","v",""
601,2,"range","n",""
602,2,"assessment","n","Edu"
603,2,"affect","v",""
604,2,"agency","n",""
605,2,"sport","n","Soc"
606,2,"attitude","n",""
607,2,"status","n",""
608,2,"paper","n",""
609,2,"necessary","j",""
610,2,"finally","r",""
611,2,"better","j",""
612,2,"function","n",""
613,2,"indeed","r",""
614,2,"trade","n",""
615,2,"private","j",""
616,2,"present","j",""
617,2,"global","j",""
618,2,"fund","n","Fin"
619,2,"single","j",""
620,2,"conflict","n",""
621,2,"decade","n",""
622,2,"achieve","v",""
623,2,"conduct","v",""
624,2,"object","n","Hum"
625,2,"critical","j",""
626,2,"perform","v",""
627,2,"choice","n",""
628,2,"academic","j","Edu"
629,2,"true","j",""
630,2,"medical","j","Med"
631,2,"pressure","n","Med"
632,2,"American","n",""
633,2,"let","v",""
634,2,"cell","n","Sci+Med"
635,2,"discuss","v",""
636,2,"father","n",""
637,2,"amount","n",""
638,2,"carry","v",""
639,2,"air","n",""
640,2,"exist","v",""
641,2,"friend","n",""
642,2,"improve","v",""
643,2,"observe","v",""
644,2,"demonstrate","v",""
645,2,"unit","n",""
646,2,"total","j",""
647,2,"six","m",""
648,2,"modern","j",""
649,2,"authority","n",""
650,2,"set","n",""
651,2,"raise","v",""
652,2,"despite","i",""
653,2,"literature","n",""
654,2,"classroom","n","Edu"
655,2,"happen","v",""
656,2,"full","j",""
657,2,"educational","j","Edu"
658,2,"bad","j",""
659,2,"head","n",""
660,2,"result","v",""
661,2,"experience","v",""
662,2,"principle","n",""
663,2,"early","r",""
664,2,"poor","j",""
665,2,"element","n",""
666,2,"challenge","n",""
667,2,"send","v",""
668,2,"ever","r",""
669,2,"share","v",""
670,2,"all","r",""
671,2,"teaching","n","Edu"
672,2,"draw","v",""
673,2,"control","v",""
674,2,"historical","j",""
675,2,"probably","r",""
676,2,"oil","n",""
677,2,"sometimes","r",""
678,2,"aspect","n",""
679,2,"step","n",""
680,2,"beyond","i",""
681,2,"intervention","n","Edu+Med"
682,2,"scientist","n","Sci"
683,2,"future","n",""
684,2,"professional","j","Edu"
685,2,"character","n","Hum"
686,2,"loss","n",""
687,2,"perspective","n",""
688,2,"usually","r",""
689,2,"basic","j",""
690,2,"measure","v",""
691,2,"tradition","n",""
692,2,"adult","n",""
693,2,"belief","n",""
694,2,"sell","v","Fin"
695,2,"western","j",""
696,2,"past","j",""
697,2,"enough","r",""
698,2,"procedure","n",""
699,2,"test","v",""
700,2,"category","n",""
701,2,"fall","v",""
702,2,"study","v",""
703,2,"north","n",""
704,2,"actually","r",""
705,2,"tend","v",""
706,2,"return","v",""
707,2,"gender","n","Edu+Soc"
708,2,"throughout","i",""
709,2,"face","v",""
710,2,"technique","n",""
711,2,"animal","n",""
712,2,"outcome","n",""
713,2,"significantly","r",""
714,2,"generally","r",""
715,2,"mind","n",""
716,2,"recently","r",""
717,2,"financial","j",""
718,2,"billion","m","Fin"
719,2,"accept","v",""
720,2,"future","j",""
721,2,"mean","n",""
722,2,"importance","n",""
723,2,"application","n",""
724,2,"feature","n",""
725,2,"surface","n","Sci"
726,2,"building","n",""
727,2,"like","v",""
728,2,"influence","n",""
729,2,"easy","j",""
730,2,"right","j",""
731,2,"director","n",""
732,2,"network","n",""
733,2,"reader","n","Hum"
734,2,"operation","n",""
735,2,"game","n",""
736,2,"hear","v",""
737,2,"foot","n","Med"
738,2,"minute","n","Med"
739,2,"heart","n","Med"
740,2,"administration","n",""
741,2,"basis","n",""
742,2,"ago","r",""
743,2,"interaction","n",""
744,2,"himself","p",""
745,2,"agree","v",""
746,2,"refer","v",""
747,2,"earth","n","Sci"
748,2,"point","v",""
749,2,"communication","n",""
750,2,"negative","j",""
751,2,"stand","v",""
752,2,"former","d",""
753,2,"primary","j",""
754,2,"better","r",""
755,2,"clearly","r",""
756,2,"characteristic","n",""
757,2,"enter","v",""
758,2,"nearly","r",""
759,2,"fail","v",""
760,2,"instruction","n","Edu"
761,2,"rather","r",""
762,2,"ground","n",""
763,2,"stage","n",""
764,2,"simple","j",""
765,2,"light","n",""
766,2,"European","j",""
767,2,"lack","n",""
768,2,"nothing","p",""
769,2,"reality","n",""
770,2,"agreement","n","His+Law"
771,2,"obtain","v",""
772,2,"potential","j",""
773,2,"variety","n",""
774,2,"talk","v",""
775,2,"popular","j",""
776,2,"buy","v","Fin"
777,2,"complete","v","Edu"
778,2,"moral","j","Rel"
779,2,"component","n",""
780,2,"following","j",""
781,2,"stock","n","Fin"
782,2,"eye","n",""
783,2,"pass","v",""
784,2,"respond","v",""
785,2,"access","n",""
786,2,"main","j",""
787,2,"contribute","v",""
788,2,"away","r",""
789,2,"religion","n","Rel"
790,2,"legal","j","Law"
791,2,"course","r",""
792,2,"firm","n","Law+Fin"
793,2,"account","n",""
794,2,"far","j",""
795,2,"assume","v",""
796,2,"express","v",""
797,2,"style","n","Hum"
798,2,"room","n",""
799,2,"tool","n",""
800,2,"investment","n",""
801,2,"promote","v",""
802,2,"participate","v",""
803,2,"media","n",""
804,2,"labor","n",""
805,2,"tax","n",""
806,2,"engage","v",""
807,2,"south","n",""
808,2,"review","n",""
809,2,"additional","j",""
810,2,"highly","r",""
811,2,"majority","n",""
812,2,"politics","n",""
813,2,"appropriate","j",""
814,2,"perception","n","Edu+Soc"
815,2,"property","n",""
816,2,"staff","n",""
817,2,"union","n",""
818,2,"statement","n",""
819,2,"page","n",""
820,2,"reform","n",""
821,2,"protect","v",""
822,2,"before","c",""
823,2,"publish","v",""
824,2,"avoid","v",""
825,2,"responsibility","n",""
826,2,"no","r",""
827,2,"encourage","v",""
828,2,"successful","j",""
829,2,"short","j",""
830,2,"curriculum","n","Edu+Hum"
831,2,"little","d",""
832,2,"key","j",""
833,2,"nor","c",""
834,2,"decide","v",""
835,2,"open","v",""
836,2,"car","n",""
837,2,"quite","r",""
838,2,"note","n","Law"
839,2,"assess","v",""
840,2,"view","v",""
841,2,"client","n",""
842,2,"instrument","n",""
843,2,"Congress","n","Law"
844,2,"relatively","r",""
845,2,"west","n",""
846,2,"claim","v",""
847,2,"meaning","n",""
848,2,"letter","n",""
849,2,"bank","n",""
850,2,"middle","j",""
851,2,"limit","v",""
852,2,"prevent","v",""
853,2,"weight","n","Med"
854,2,"committee","n",""
855,2,"film","n","Hum"
856,2,"board","n",""
857,2,"series","n",""
858,2,"increase","n",""
859,2,"professor","n",""
860,2,"partner","n",""
861,2,"directly","r",""
862,2,"deal","v",""
863,2,"previous","j",""
864,2,"demand","n",""
865,2,"sex","n","Soc"
866,2,"vision","n",""
867,2,"act","v",""
868,2,"faculty","n","Edu"
869,2,"female","j",""
870,2,"hard","j",""
871,2,"setting","n","Edu+Soc"
872,2,"attempt","n",""
873,2,"half","d",""
874,2,"Christian","j","Rel"
875,2,"influence","v",""
876,2,"independent","j",""
877,2,"list","n",""
878,2,"generation","n",""
879,2,"little","j",""
880,2,"solution","n",""
881,2,"direct","j",""
882,2,"public","n",""
883,2,"record","n",""
884,2,"conclusion","n",""
885,2,"democratic","j","His+Law"
886,2,"around","r",""
887,2,"exercise","n","Med"
888,2,"civil","j",""
889,2,"presence","n",""
890,2,"scientific","j",""
891,2,"original","j",""
892,2,"argument","n",""
893,2,"prepare","v",""
894,2,"ethnic","j",""
895,2,"die","v",""
896,2,"version","n",""
897,2,"complex","j",""
898,2,"that","r",""
899,2,"native","j","His"
900,2,"active","j",""
901,2,"collection","n",""
902,2,"male","n",""
903,2,"claim","n",""
904,2,"participation","n",""
905,2,"direction","n",""
906,2,"cover","v",""
907,2,"capital","n",""
908,2,"software","n","Sci"
909,2,"Indian","j","His"
910,2,"memory","n",""
911,2,"leadership","n","His+Edu"
912,2,"focus","n",""
913,2,"freedom","n",""
914,2,"entire","j",""
915,2,"blood","n","Med"
916,2,"final","j",""
917,2,"press","n",""
918,2,"night","n",""
919,2,"army","n","His"
920,2,"hospital","n","Med"
921,2,"contrast","n",""
922,2,"respondent","n","Edu+Soc"
923,2,"prove","v",""
924,2,"wide","j",""
925,2,"meeting","n",""
926,2,"picture","n",""
927,2,"failure","n",""
928,2,"open","j",""
929,2,"cause","n",""
930,2,"defense","n",""
931,2,"gas","n",""
932,2,"end","v",""
933,2,"nuclear","j",""
934,2,"justice","n","Law+Rel"
935,2,"internal","j",""
936,2,"council","n",""
937,2,"east","n",""
938,2,"violence","n",""
939,2,"Chinese","j","His"
940,2,"moment","n",""
941,2,"threat","n",""
942,2,"journal","n",""
943,2,"regime","n","His+Law"
944,2,"evaluation","n","Edu"
945,2,"plan","v",""
946,2,"official","n",""
947,2,"interview","n",""
948,2,"income","n",""
949,2,"past","n",""
950,2,"girl","n",""
951,2,"due","i",""
952,2,"multiple","j",""
953,2,"option","n",""
954,2,"youth","n","Soc"
955,2,"possibility","n",""
956,2,"treat","v","Med"
957,2,"facility","n",""
958,2,"user","n",""
959,2,"face","n",""
960,2,"discover","v",""
961,2,"achievement","n","Edu"
962,2,"democracy","n","His+Law"
963,2,"photograph","n",""
964,2,"emerge","v",""
965,2,"protection","n",""
966,2,"extent","n",""
967,2,"employee","n",""
968,2,"terms","i",""
969,2,"male","j",""
970,2,"mental","j",""
971,2,"district","n","Edu"
972,2,"piece","n",""
973,2,"reading","n","Edu+Hum"
974,2,"gain","v",""
975,2,"thought","n",""
976,2,"town","n",""
977,2,"drive","v",""
978,2,"career","n","Edu"
979,2,"stress","n","Soc+Med"
980,2,"explore","v",""
981,2,"eat","v","Med"
982,2,"consequence","n",""
983,2,"whole","j",""
984,2,"generate","v",""
985,2,"street","n",""
986,2,"spirit","n","Rel"
987,2,"arm","n","Med"
988,2,"mission","n",""
989,2,"conference","n",""
990,2,"serious","j",""
991,2,"content","n",""
992,2,"device","n",""
993,2,"cut","v",""
994,2,"average","j",""
995,2,"break","v",""
996,2,"requirement","n",""
997,2,"broad","j",""
998,2,"grade","n","Edu"
999,2,"citizen","n",""
1000,3,"feeling","n",""
1001,3,"observation","n",""
1002,3,"boy","n",""
1003,3,"visual","j",""
1004,3,"writing","n","Edu+Hum"
1005,3,"stop","v",""
1006,3,"race","n",""
1007,3,"artist","n","Hum"
1008,3,"answer","n",""
1009,3,"river","n",""
1010,3,"difficulty","n",""
1011,3,"love","n","Hum+Rel"
1012,3,"outside","i",""
1013,3,"base","n",""
1014,3,"island","n",""
1015,3,"soon","r",""
1016,3,"back","n","Med"
1017,3,"instead","r",""
1018,3,"left","j","Med"
1019,3,"British","j","His"
1020,3,"hundred","m",""
1021,3,"realize","v",""
1022,3,"advantage","n",""
1023,3,"collect","v",""
1024,3,"Soviet","j","His+Law"
1025,3,"regional","j",""
1026,3,"perceive","v",""
1027,3,"Catholic","j","Rel"
1028,3,"ie","r",""
1029,3,"manager","n",""
1030,3,"urban","j",""
1031,3,"powerful","j",""
1032,3,"remove","v",""
1033,3,"son","n",""
1034,3,"female","n",""
1035,3,"forest","n","Sci"
1036,3,"capacity","n",""
1037,3,"educator","n","Edu+Hum"
1038,3,"increased","j",""
1039,3,"writer","n","Hum"
1040,3,"introduce","v",""
1041,3,"off","i",""
1042,3,"cancer","n","Med"
1043,3,"lot","n",""
1044,3,"ensure","v",""
1045,3,"crisis","n",""
1046,3,"opinion","n",""
1047,3,"select","v",""
1048,3,"debate","n",""
1049,3,"division","n",""
1050,3,"whom","p",""
1051,3,"moreover","r",""
1052,3,"faith","n","Rel"
1053,3,"tree","n",""
1054,3,"ten","m",""
1055,3,"museum","n","Hum"
1056,3,"join","v",""
1057,3,"emphasize","v",""
1058,3,"win","v",""
1059,3,"regarding","i",""
1060,3,"sure","j",""
1061,3,"strength","n",""
1062,3,"behind","i",""
1063,3,"institute","n",""
1064,3,"operate","v",""
1065,3,"expert","n",""
1066,3,"anything","p",""
1067,3,"extend","v",""
1068,3,"connection","n",""
1069,3,"second","n",""
1070,3,"competition","n",""
1071,3,"sector","n",""
1072,3,"best","r",""
1073,3,"rise","v",""
1074,3,"voice","n","Hum"
1075,3,"commitment","n",""
1076,3,"manage","v",""
1077,3,"involved","j",""
1078,3,"detail","n",""
1079,3,"everything","p",""
1080,3,"interpretation","n",""
1081,3,"lie","v",""
1082,3,"above","i",""
1083,3,"sit","v",""
1084,3,"evaluate","v",""
1085,3,"thousand","m",""
1086,3,"sun","n","Sci"
1087,3,"message","n",""
1088,3,"conclude","v",""
1089,3,"sea","n",""
1090,3,"truth","n","Rel"
1091,3,"trial","n","Law+Med"
1092,3,"near","i",""
1093,3,"notion","n",""
1094,3,"increasingly","r",""
1095,3,"location","n",""
1096,3,"domestic","j",""
1097,3,"distance","n",""
1098,3,"marriage","n","Rel"
1099,3,"officer","n",""
1100,3,"someone","p",""
1101,3,"attend","v","Edu"
1102,3,"election","n","His+Law"
1103,3,"consist","v",""
1104,3,"regulation","n","Law"
1105,3,"contemporary","j","Hum"
1106,3,"sign","n",""
1107,3,"peace","n",""
1108,3,"lesson","n","Edu"
1109,3,"reference","n",""
1110,3,"consumer","n",""
1111,3,"criteria","n","Edu"
1112,3,"web","n",""
1113,3,"foundation","n",""
1114,3,"background","n",""
1115,3,"initial","j",""
1116,3,"target","n",""
1117,3,"easily","r",""
1118,3,"adopt","v",""
1119,3,"quickly","r",""
1120,3,"comparison","n",""
1121,3,"southern","j",""
1122,3,"depend","v",""
1123,3,"attempt","v",""
1124,3,"implement","v","Edu"
1125,3,"standard","j",""
1126,3,"predict","v",""
1127,3,"pain","n","Med"
1128,3,"employ","v",""
1129,3,"hope","v",""
1130,3,"definition","n",""
1131,3,"athlete","n","Soc"
1132,3,"certainly","r",""
1133,3,"remember","v",""
1134,3,"news","n",""
1135,3,"kill","v",""
1136,3,"essential","j",""
1137,3,"up","i",""
1138,3,"contact","n",""
1139,3,"force","v",""
1140,3,"sound","n","Hum"
1141,3,"stay","v",""
1142,3,"attack","n",""
