headword,pos,CEFR
advert,noun,2
advertise,verb,2
advertisement,noun,1
advertising,noun,1
advice,noun,1
advise,verb,1
adviser,noun,2
advisor,noun,2
aerobics,noun,2
aeroplane,noun,0
affair,noun,1
affect,verb,2
affection,noun,2
affectionate,adjective,3
affectionately,adverb,3
afford,verb,2
affordable,adjective,3
afraid,adjective,0
after,adverb,1
after,conjunction,2
after,preposition,0
afternoon,noun,0
afterward,adverb,2
afterwards,adverb,2
again,adverb,0
against,preposition,1
age,noun,0
aged,adjective,1
ageless,adjective,3
agency,noun,1
agenda,noun,2
agent,noun,1
aggressive,adjective,2
aggressively,adverb,3
ago,adverb,0
agonise,verb,3
agonize,verb,3
agony,noun,3
agree,verb,0
agreement,noun,2
agricultural,adjective,2
agriculture,noun,2
ahead,adverb,1
aid,noun,2
aid,verb,2
aim,noun,2
aim,verb,3
air,noun,1
air conditioning,noun,2
air force,noun,2
aircraft,noun,3
aircrew,noun,3
airline,noun,2
airplane,noun,0
airport,noun,0
aisle,noun,1
alarm,noun,1
alarm,verb,2
alarm clock,noun,1
album,noun,0
alcohol,noun,2
alcoholic,adjective,2
alcoholic,noun,3
alcoholism,noun,3
alert,verb,3
alike,adjective,2
alike,adverb,2
alive,adjective,1
all,adverb,1
all,determiner,0
all,pronoun,0
all right,adjective,0
all right,adverb,0
allegation,noun,3
allergic,adjective,2
alliance,noun,3
allow,verb,1
allowance,noun,2
ally,noun,3
almost,adverb,0
alone,adjective,1
alone,adverb,0
along,adverb,0
along,preposition,1
alongside,preposition,3
aloud,adverb,2
alphabet,noun,2
alphabetical,adjective,3
already,adverb,0
alright,adjective,1
alright,adverb,1
also,adverb,0
altar,noun,3
alter,verb,3
alternate,verb,3
alternative,adjective,2
alternative,noun,2
alternatively,adverb,3
although,conjunction,1
altitude,noun,3
altogether,adverb,2
aluminium,noun,3
aluminum,noun,3
always,adverb,0
am,be-verb,0
am,adverb,0
AM,adverb,0
amaze,verb,3
amazed,adjective,2
amazement,noun,3
amazing,adjective,2
amazingly,adverb,3
ambassador,noun,3
ambiguity,noun,3
ambiguous,adjective,3
ambition,noun,1
ambitious,adjective,2
ambulance,noun,2
ammonia,noun,3
among,preposition,1
amongst,preposition,3
amount,noun,2
ample,adjective,3
amplifier,noun,3
amplify,verb,3
amuse,verb,3
amused,adjective,1
amusement,noun,1
amusing,adjective,2
an,determiner,0
analogy,noun,3
analyse,verb,2
analysis,noun,2
analyst,noun,3
analyze,verb,2
ancestor,noun,1
anchor,noun,3
anchorage,noun,3
anchorman,noun,3
anchorperson,noun,3
ancient,adjective,1
and,conjunction,0
angel,noun,1
anger,noun,2
angle,noun,2
angrily,adverb,1
angry,adjective,0
anguish,noun,3
animal,noun,0
animate,verb,3
animated,adjective,2
animation,noun,2
ankle,noun,1
anniversary,noun,1
announce,verb,2
announcement,noun,2
annoy,verb,1
annoyance,noun,2
annoyed,adjective,2
annoying,adjective,1
annual,adjective,2
annually,adverb,2
anonymous,adjective,3
another,determiner,0
another,pronoun,1
answer,noun,0
answer,verb,0
ant,noun,2
anti,adjective,2
antiaircraft,adjective,3
antibacterial,adjective,3
anticancer,noun,3
anticipate,verb,3
anticipation,noun,3
antipollution,noun,3
antique,adjective,3
antique,noun,2
antistatic,adjective,3
antivirus,noun,3
antonym,noun,2
anxiety,noun,2
anxious,adjective,1
anxiously,adverb,2
any,determiner,0
any,pronoun,0
anybody,pronoun,0
anyhow,adverb,2
anymore,adverb,1
anyone,pronoun,0
anything,pronoun,0
anyway,adverb,1
anywhere,adverb,1
apart,adverb,1
apartment,noun,1
ape,noun,2
apologise,verb,1
apologize,verb,1
apology,noun,2
apostrophe,noun,3
apparent,adjective,2
apparently,adverb,1
appeal,noun,2
appeal,verb,3
appear,verb,1
appearance,noun,1
appetite,noun,2
applaud,verb,2
applause,noun,2
apple,noun,0
applicant,noun,3
application,noun,2
apply,verb,1
appoint,verb,2
appointment,noun,1
appreciate,verb,1
appreciation,noun,2
appreciative,adjective,3
approach,noun,2
approach,verb,3
appropriate,adjective,1
appropriately,adverb,3
approval,noun,2
approve,verb,2
approximate,adjective,3
approximately,adverb,2
April,noun,0
apron,noun,0
arch,noun,3
archaeologist,noun,3
archeologist,noun,3
architect,noun,2
architecture,noun,1
arctic,adjective,3
are,be-verb,0
area,noun,1
arena,noun,3
argue,verb,1
argument,noun,1
arise,verb,2
aristocracy,noun,3
arithmetic,noun,2
arm,noun,0
arm,verb,2
armchair,noun,1
armed,adjective,1
armful,noun,3
army,noun,2
around,adverb,1
around,preposition,0
arouse,verb,3
arrange,verb,2
arrangement,noun,2
arrest,noun,2
arrest,verb,2
arrival,noun,2
arrive,verb,0
arrogant,adjective,3
arrow,noun,2
art,noun,0
artery,noun,3
article,noun,0
articulate,verb,3
artificial,adjective,1
artificially,adverb,3
artist,noun,2
artistic,adjective,2
artistry,noun,3
as,conjunction,1
as,preposition,0
ash,noun,3
ashamed,adjective,2
aside,adverb,2
ask,verb,0
asleep,adjective,1
aspect,noun,2
aspiration,noun,3
aspire,verb,3
aspirin,noun,2
assault,noun,3
assemble,verb,3
assembly,noun,3
assert,verb,3
assess,verb,3
assessment,noun,3
assign,verb,2
assignment,noun,2
assist,verb,2
assistance,noun,2
assistant,adjective,1
assistant,noun,2
associate,verb,2
association,noun,1
assume,verb,2
assumption,noun,3
assurance,noun,3
assure,verb,3
astonish,verb,3
astonished,adjective,3
astonishing,adjective,3
astonishment,noun,3
astronaut,noun,1
astronomer,noun,2
astronomy,noun,3
at,preposition,0
athlete,noun,1
athletic,adjective,2
athletics,noun,3
Atlantic,adjective,2
atmosphere,noun,2
atom,noun,1
atomic,adjective,2
attach,verb,2
attached,adjective,3
attachment,noun,2
attack,noun,1
attack,verb,1
attain,verb,2
attainable,adjective,3
attainment,noun,3
attempt,noun,1
attempt,verb,2
attend,verb,2
attendance,noun,3
attention,noun,1
attentive,adjective,3
attentively,adverb,3
attitude,noun,1
attract,verb,2
attraction,noun,2
attractive,adjective,1
attractiveness,noun,3
attribute,noun,3
attribute,verb,3
atypical,adjective,3
aubergine,noun,3
audience,noun,1
audio,adjective,1
audit,noun,3
audition,noun,3
August,noun,0
aunt,noun,0
author,noun,1
authorise,verb,3
authoritative,adjective,3
authority,noun,2
authorize,verb,3
automatic,adjective,1
automatically,adverb,1
autumn,noun,0
auxiliary,adjective,2
availability,noun,3
available,adjective,2
avenue,noun,2
average,adjective,1
average,noun,1
avoid,verb,1
await,verb,3
awake,adjective,0
award,noun,1
award,verb,2
aware,adjective,2
awareness,noun,2
away,adverb,0
awe,noun,3
awesome,adjective,2
awful,adjective,1
awkward,adjective,2
ax,noun,3
axe,noun,3
axis,noun,3
baby,noun,0
babysit,verb,2
babysitter,noun,2
back,adjective,1
back,adverb,0
back,noun,0
back,verb,2
backache,noun,2
background,noun,1
backpack,noun,2
backpacker,noun,2
backpacking,noun,2
backup,noun,3
backward,adverb,3
backwards,adverb,3
backyard,noun,3
bacon,noun,2
bad,adjective,0
bad-tempered,adjective,3
badge,noun,3
badly,adverb,1
badminton,noun,1
bag,noun,0
baggage,noun,2
bake,verb,1
baker,noun,2
bakery,noun,2
balance,noun,2
balance,verb,3
balanced,adjective,3
balcony,noun,1
bald,adjective,2
balky,adjective,3
ball,noun,0
ballad,noun,3
ballet,noun,3
balloon,noun,1
ballot,noun,3
ban,noun,3
ban,verb,3
banana,noun,0
band,noun,0
bandage,noun,2
bang,noun,2
bang,verb,2
bank,noun,0
bank,verb,1
bank account,noun,2
banker,noun,3
banking,noun,1
bankrupt,verb,3
bankruptcy,noun,3
bar,noun,0
bar,verb,2
barbecue,noun,1
barbecue,verb,2
barber,noun,1
barbershop,noun,3
bare,adjective,2
bare,verb,3
barely,adverb,2
bargain,noun,1
bargain,verb,3
bark,noun,2
bark,verb,3
barley,noun,3
barman,noun,2
barn,noun,3
barometer,noun,3
barrel,noun,2
barren,adjective,3
barrier,noun,3
bartender,noun,3
base,noun,1
base,verb,2
baseball,noun,0
basement,noun,2
basic,adjective,1
basically,adverb,1
basin,noun,2
basis,noun,2
basket,noun,1
basketball,noun,0
bat,noun,0
bat,verb,2
batch,noun,1
bath,noun,0
bathe,verb,2
bathhouse,noun,3
bathroom,noun,0
battery,noun,1
battle,noun,2
battlefield,noun,3
bay,noun,1
be,be-verb,0
beach,noun,0
beagle,noun,3
beak,noun,3
beam,noun,3
bean,noun,0
bear,noun,0
bear,verb,1
beard,noun,2
bearing,noun,3
beast,noun,2
beat,noun,3
beat,verb,2
beautiful,adjective,0
beautifully,adverb,2
beautify,verb,3
beauty,noun,1
beaver,noun,2
because,conjunction,0
because of,preposition,2
become,verb,0
bed,noun,0
bedroom,noun,0
bedside,noun,2
bee,noun,0
beef,noun,0
been,be-verb,1
beer,noun,1
before,adverb,0
before,conjunction,1
before,preposition,0
beg,verb,1
begin,verb,0
beginner,noun,1
beginning,noun,1
behalf,noun,2
behave,verb,2
behavior,noun,1
behaviour,noun,1
behind,adverb,0
behind,preposition,0
being,be-verb,0
being,noun,1
belief,noun,2
believe,verb,0
bell,noun,0
bellow,verb,3
belly,noun,1
belong,verb,1
belongings,noun,3
beloved,adjective,2
below,adverb,0
below,preposition,0
belt,noun,1
bench,noun,1
bend,noun,3
bend,verb,1
beneath,preposition,2
beneficial,adjective,3
benefit,noun,2
benefit,verb,3
benevolence,noun,3
benevolent,adjective,3
bent,adjective,2
berry,noun,3
beside,preposition,0
besides,adverb,1
besides,preposition,2
best,adjective,0
best,adverb,0
bestow,verb,3
bestseller,noun,3
bet,verb,2
betray,verb,3
better,adjective,0
better,adverb,1
between,preposition,0
bewilder,verb,3
bewilderment,noun,3
beyond,preposition,1
bicycle,noun,0
bid,verb,3
bidding,noun,3
big,adjective,0
bike,noun,0
bikini,noun,3
bilingual,adjective,2
bill,noun,1
bill,verb,2
billion,noun,3
bin,noun,2
bind,verb,3
bio,noun,3
biochemistry,noun,2
biography,noun,2
biological,adjective,3
biology,noun,2
biotechnology,noun,3
bird,noun,0
birdcage,noun,3
birth,noun,0
birthday,noun,0
birthplace,noun,3
biscuit,noun,0
bishop,noun,2
bit,noun,1
bite,noun,1
bite,verb,2
bitter,adjective,2
bitterly,adverb,3
bizarre,adjective,3
black,adjective,0
black,noun,0
blackboard,noun,1
blade,noun,3
blame,noun,2
blame,verb,1
blank,adjective,0
blanket,noun,1
blast,noun,3
blast,verb,3
blaze,noun,3
blaze,verb,3
bleed,verb,2
blend,noun,3
blend,verb,2
bless,verb,2
blessing,noun,2
blind,adjective,2
blindly,adverb,3
blindness,noun,3
blink,verb,3
block,noun,0
block,verb,2
blog,noun,2
blogger,noun,2
blonde,adjective,1
blood,noun,1
bloodstream,noun,3
bloody,adjective,3
bloody,adverb,3
bloom,noun,1
blooming,adjective,3
blossom,noun,3
blow,noun,1
blow,verb,0
blue,adjective,0
blue,noun,0
blur,verb,3
blurt,noun,3
blush,noun,2
blush,verb,3
board,noun,0
board,verb,2
board game,noun,1
boast,verb,2
boat,noun,0
body,noun,0
boil,verb,1
boiled,adjective,1
boiling,adjective,3
bold,adjective,2
bold,noun,3
boldly,adverb,2
bolt,noun,3
bolt,verb,3
bomb,noun,2
bomb,verb,2
bombard,noun,3
bomber,noun,3
bombing,noun,3
bond,noun,2
bone,noun,0
bonus,noun,1
bony,adjective,3
book,noun,0
book,verb,2
bookcase,noun,1
booking,noun,2
bookish,adjective,3
booklet,noun,3
bookmark,noun,3
bookmark,verb,3
bookshelf,noun,1
bookshop,noun,1
bookstore,noun,0
boom,noun,2
boost,noun,3
boost,verb,3
boot,noun,2
booth,noun,3
border,noun,2
bore,verb,2
bored,adjective,1
boredom,noun,2
boring,adjective,0
borrow,verb,0
boss,noun,1
bossy,adjective,3
botany,noun,3
both,adverb,0
both,determiner,0
both,pronoun,0
bother,noun,2
bother,verb,1
bothered,adjective,3
bothersome,adjective,3
bottle,noun,0
bottle,verb,3
bottom,noun,0
bounce,noun,3
bounce,verb,2
bound,adjective,2
bourbon,noun,3
bow,noun,2
bow,verb,3
bowl,noun,0
bowl,verb,2
box,noun,0
boxer,noun,3
boxing,noun,2
boy,noun,0
boyfriend,noun,0
bra,noun,1
bracelet,noun,2
bracket,noun,3
brag,noun,3
brain,noun,0
brainstorm,noun,1
brainstorming,noun,2
brake,noun,1
brake,verb,3
branch,noun,1
branch,verb,2
brand,noun,1
brand-new,adjective,2
brass,noun,2
brave,adjective,1
bravely,adverb,2
bravery,noun,3
bread,noun,0
break,noun,1
break,verb,0
breakable,adjective,3
breakdown,noun,3
breakfast,noun,0
breakthrough,noun,2
breakup,noun,3
breast,noun,2
breath,noun,2
breathe,verb,0
breathless,adjective,2
breathtaking,adjective,3
breed,noun,3
breed,verb,2
breeding,noun,2
breeze,noun,1
breezy,adjective,3
brewery,noun,3
brick,noun,2
bride,noun,1
bridge,noun,0
brief,adjective,2
briefly,adverb,2
bright,adjective,0
brightly,adverb,2
brilliant,adjective,1
brilliantly,adverb,3
bring,verb,0
broad,adjective,2
broadband,noun,3
broadcast,noun,2
broadcast,verb,3
broadcaster,noun,3
broaden,verb,3
broadly,adverb,3
broccoli,noun,2
brochure,noun,3
broken,adjective,0
bronze,noun,2
brother,noun,0
brother-in-law,noun,3
brotherhood,noun,2
brown,adjective,0
brown,noun,1
browse,verb,3
browser,noun,3
bruise,noun,3
brush,noun,0
brush,verb,0
bubble,noun,2
bucket,noun,0
bud,noun,3
buddy,noun,2
budget,adjective,3
budget,noun,1
bug,noun,1
build,verb,0
builder,noun,2
building,noun,0
bulb,noun,1
bulimia,noun,3
bull,noun,2
bullet,noun,2
bulletin,noun,2
bully,verb,3
bum,noun,3
bump,verb,2
bumper,noun,3
bun,noun,3
bunch,noun,2
burden,noun,2
burden,verb,3
burdensome,adjective,3
bureau,noun,2
bureaucracy,noun,3
burger,noun,0
burglar,noun,2
burglary,noun,3
burgle,verb,3
burial,noun,3
burn,noun,1
burn,verb,2
burning,adjective,2
burst,verb,2
bury,verb,1
bus,noun,0
bus station,noun,1
bus stop,noun,1
bush,noun,1
business,noun,0
businessman,noun,1
businesswoman,noun,1
bust,verb,2
bustle,verb,3
bustling,adjective,3
busy,adjective,0
but,conjunction,0
but,preposition,2
butcher,noun,2
butcher,verb,3
butter,noun,0
butterfly,noun,0
button,noun,0
buy,verb,0
buyer,noun,2
buzz,noun,3
buzz,verb,3
by,preposition,0
bye,noun,0
cab,noun,1
cabbage,noun,2
cabin,noun,2
cabinet,noun,3
cable,noun,3
cafe,noun,0
café,noun,0
cafeteria,noun,1
cage,noun,2
cake,noun,0
calculate,verb,2
calculation,noun,2
calculator,noun,2
calendar,noun,1
calf,noun,2
call,noun,0
call,verb,1
caller,noun,2
calm,adjective,2
calmly,adverb,3
calmness,noun,2
camel,noun,2
camera,noun,0
camp,noun,0
camp,verb,1
campaign,noun,3
camping,noun,1
campsite,noun,2
campus,noun,1
can,modal auxiliary,0
can,noun,1
canal,noun,2
cancel,verb,2
cancer,noun,2
candidate,noun,3
candle,noun,2
candy,noun,0
cane,noun,3
canned,adjective,2
cannonball,noun,3
canon,noun,3
canteen,noun,2
cap,noun,0
capability,noun,3
capable,adjective,2
capacity,noun,2
capital,noun,1
capital letter,noun,1
capsule,noun,2
captain,noun,1
caption,noun,3
captive,noun,3
capture,noun,2
capture,verb,2
car,noun,0
car park,noun,1
caravan,noun,3
carbon,noun,3
carbon dioxide,noun,3
carbon footprint,noun,3
carbon monoxide,noun,3
card,noun,0
cardboard,noun,3
cardigan,noun,3
care,noun,0
care,verb,2
career,noun,2
carefree,adjective,3
careful,adjective,0
carefully,adverb,0
careless,adjective,2
carelessly,adverb,2
carelessness,noun,2
caring,adjective,3
carnival,noun,3
carpet,noun,2
carpool,noun,3
carriage,noun,2
carrot,noun,1
carry,verb,0
carton,noun,2
cartoon,noun,0
carve,verb,3
cascade,noun,3
case,noun,0
cash,noun,1
cashpoint,noun,2
cassette,noun,1
cast,noun,3
cast,verb,3
castle,noun,1
casual,adjective,2
casually,adverb,3
cat,noun,0
catalog,noun,3
catalogue,noun,3
catalyst,noun,3
catastrophe,noun,3
catastrophic,adjective,3
catch,noun,0
catch,verb,0
catchy,adjective,3
categorisation,noun,3
categorise,verb,2
categorization,noun,3
categorize,verb,2
category,noun,2
catering,noun,3
cathedral,noun,3
cattle,noun,2
cause,noun,3
cause,verb,1
caution,noun,2
cautious,adjective,2
cave,noun,2
CD,noun,0
CD player,noun,0
CD-ROM,noun,2
cease,verb,3
ceiling,noun,3
celebrate,verb,0
celebration,noun,0
celebrity,noun,2
cell,noun,2
cellar,noun,3
cellist,noun,3
cello,noun,3
cemetery,noun,3
cent,noun,1
center,noun,1
centigrade,noun,3
centimeter,noun,1
centimetre,noun,1
central,adjective,2
central heating,noun,2
centre,noun,1
century,noun,1
cereal,noun,1
ceremony,noun,2
certain,adjective,1
certainly,adverb,1
certainty,noun,2
certificate,noun,3
certification,noun,3
certify,verb,3
chain,noun,1
chair,noun,0
chairman,noun,1
challenge,noun,1
challenge,verb,3
challenging,adjective,2
champagne,noun,1
champion,noun,2
championship,noun,1
chance,noun,1
chancellor,noun,3
change,noun,0
change,verb,0
channel,noun,2
chaos,noun,2
chaotic,adjective,3
chapter,noun,1
character,noun,0
characterise,verb,2
characteristic,adjective,3
characteristic,noun,2
characterize,verb,2
charge,noun,2
charge,verb,2
chariot,noun,2
charity,noun,2
charm,noun,2
charming,adjective,3
chart,noun,1
chase,noun,2
chase,verb,3
chat,noun,2
chat,verb,1
chat show,noun,2
cheap,adjective,1
cheat,verb,3
check,noun,0
check,verb,1
check-in,noun,2
check-in,noun,2
check-in counter,noun,2
check-in desk,noun,2
checkout,noun,2
checkpoint,noun,3
cheek,noun,1
cheeky,adjective,3
cheer,verb,1
cheerful,adjective,2
cheerfully,adverb,3
cheerfulness,noun,3
cheese,noun,0
chef,noun,1
chemical,adjective,1
chemical,noun,2
chemist,noun,2
chemistry,noun,2
chemotherapy,noun,3
cheque,noun,1
cherish,verb,2
cherished,adjective,3
cherry,noun,3
chess,noun,1
chest,noun,1
chest of drawers,noun,2
chew,verb,3
chewing gum,noun,2
chicken,noun,0
chief,adjective,2
chief,noun,3
child,noun,0
childhood,noun,1
childish,adjective,3
chili,noun,1
chilli,noun,1
chimney,noun,3
chimpanzee,noun,1
chin,noun,1
chip,noun,3
chirp,noun,1
chocolate,noun,0
choice,noun,1
choir,noun,2
choke,verb,2
choose,verb,0
chop,verb,3
Christian,adjective,2
chronological,adjective,2
chuckle,noun,2
chunk,noun,3
church,noun,0
cigarette,noun,1
cinema,noun,0
circle,noun,0
circle,verb,2
circuit,noun,3
circuitry,noun,3
circular,adjective,2
circumstance,noun,3
circus,noun,2
citizen,noun,1
citizenship,noun,2
city,noun,0
citywide,adjective,3
civil,adjective,2
civilisation,noun,2
civilization,noun,2
claim,noun,2
claim,verb,1
clam,noun,3
clap,verb,3
clarify,verb,3
class,noun,0
classic,adjective,1
classic,noun,3
classical,adjective,2
classical music,noun,1
classification,noun,3
classify,verb,2
classmate,noun,0
classroom,noun,0
clause,noun,3
clean,adjective,0
clean,verb,0
cleaner,noun,1
clear,adjective,1
clear,verb,2
clearly,adverb,1
clearness,noun,3
clerical,adjective,3
clerk,noun,1
clever,adjective,0
click,noun,2
click,verb,1
client,noun,3
cliff,noun,2
climate,noun,2
climate change,noun,3
climb,noun,0
climb,verb,1
climber,noun,2
climbing,noun,1
clinic,noun,2
clip,noun,2
clock,noun,0
clog,verb,3
clone,verb,1
close,adjective,0
close,verb,0
closed,adjective,0
closely,adverb,2
closure,noun,3
cloth,noun,0
clothes,noun,0
clothing,noun,3
cloud,noun,0
cloudy,adjective,0
clown,noun,1
club,noun,0
clue,noun,1
clumsy,adjective,3
coach,noun,0
coach,verb,3
coaching,noun,3
coal,noun,2
coalition,noun,3
coarse,adjective,3
coast,noun,1
coast,verb,2
coastal,adjective,2
coastline,noun,3
coat,noun,0
cocktail,noun,3
cocoa,noun,3
coconut,noun,3
cod,noun,2
code,noun,0
coffee,noun,0
coffin,noun,2
coherence,noun,3
coherent,adjective,3
coin,noun,1
coincide,verb,3
coincidence,noun,3
coke,noun,0
cola,noun,1
cold,adjective,0
cold,noun,0
collapse,noun,2
collapse,verb,3
collar,noun,2
colleague,noun,3
collect,verb,0
collection,noun,0
collector,noun,3
college,noun,0
collocation,noun,3
colon,noun,3
colonial,adjective,3
color,noun,0
color,verb,0
colorful,adjective,1
colour,noun,0
colour,verb,0
colourful,adjective,1
column,noun,1
columnist,noun,2
coma,noun,3
comb,noun,1
comb,verb,3
combination,noun,2
combine,verb,2
come,verb,0
comedian,noun,2
comedy,noun,2
comet,noun,2
comfort,noun,2
comfortable,adjective,1
comfortably,adverb,3
comic,adjective,1
comic,noun,1
comma,noun,2
command,noun,2
commander,noun,3
commemorate,verb,3
comment,noun,2
comment,verb,3
commerce,noun,3
commercial,adjective,2
commercial,noun,3
commission,noun,3
commit,verb,2
commitment,noun,1
committee,noun,1
common,adjective,1
common sense,noun,2
commonly,adverb,2
commonwealth,noun,3
communicate,verb,1
communication,noun,1
communicative,adjective,3
community,noun,3
commute,verb,3
companion,noun,2
company,noun,1
comparative,noun,1
compare,verb,1
comparison,noun,2
compassion,noun,3
compassionate,adjective,3
compatible,adjective,3
compensate,verb,3
compensation,noun,3
compete,verb,2
competence,noun,3
competent,adjective,3
competition,noun,1
competitive,adjective,2
competitor,noun,2
compile,verb,3
complain,verb,1
complaint,noun,1
complement,noun,2
complete,adjective,1
complete,verb,2
completely,adverb,2
completion,noun,3
complex,adjective,2
complexion,noun,3
complexity,noun,3
complicate,verb,2
complicated,adjective,2
compliment,noun,2
component,noun,3
compose,verb,2
composer,noun,1
composition,noun,2
compound,noun,2
comprehension,noun,3
comprehensive,adjective,3
compress,noun,3
compression,noun,3
compromise,noun,2
compromise,verb,3
compulsory,adjective,3
compute,verb,3
computer,noun,0
conceal,verb,3
concede,verb,3
conceit,noun,3
conceivable,adjective,3
conceive,verb,3
concentrate,verb,1
concentration,noun,2
concept,noun,2
conception,noun,3
concern,noun,1
concern,verb,3
concerned,adjective,2
concerning,preposition,3
concert,noun,0
concession,noun,3
conclude,verb,2
conclusion,noun,2
concrete,adjective,3
concrete,noun,3
condemn,verb,3
condition,noun,1
conduct,noun,2
conduct,verb,3
conductor,noun,3
cone,noun,3
conference,noun,3
conferencing,noun,3
confess,verb,3
confession,noun,3
confidence,noun,2
confident,adjective,1
confidently,adverb,3
confine,verb,3
confirm,verb,2
confirmation,noun,2
conflict,noun,2
confront,verb,3
confuse,verb,1
confused,adjective,1
confusing,adjective,2
confusion,noun,2
congratulate,verb,2
conjunction,noun,3
connect,verb,2
connection,noun,2
connexion,noun,2
conquer,verb,2
conquest,noun,3
conscience,noun,3
conscious,adjective,2
consciousness,noun,3
consensus,noun,3
consent,noun,3
consequence,noun,1
consequently,adverb,2
conservation,noun,2
conservative,adjective,2
consider,verb,1
considerable,adjective,2
considerably,adverb,3
consideration,noun,2
considering,conjunction,3
considering,preposition,3
consist,verb,1
consistent,adjective,3
consolation,noun,3
console,verb,3
consonant,noun,2
constant,adjective,3
constantly,adverb,2
constitute,verb,2
constitution,noun,2
construct,verb,2
construction,noun,2
consult,verb,3
consultant,noun,3
consume,verb,2
consumer,noun,2
consumption,noun,2
contact,noun,1
contact,verb,1
contain,verb,2
container,noun,1
contaminate,verb,3
contemporary,adjective,3
contempt,noun,3
content,adjective,3
content,noun,2
contest,noun,0
context,noun,1
continent,noun,1
continual,adjective,2
continually,adverb,2
continue,verb,1
continuous,adjective,2
continuously,adverb,2
contract,noun,3
contradict,verb,3
contradiction,noun,3
contradictory,adjective,3
contrary,adjective,2
contrast,noun,1
contribute,verb,2
contribution,noun,2
control,noun,1
control,verb,2
controversial,adjective,2
controversy,noun,3
convenience,noun,1
convenient,adjective,1
conveniently,adverb,3
convention,noun,3
conventional,adjective,3
conversation,noun,0
converse,noun,3
conversely,adverb,3
conversion,noun,3
convert,verb,3
convey,verb,2
convince,verb,2
convinced,adjective,3
cook,noun,0
cook,verb,0
cooker,noun,1
cookie,noun,0
cooking,noun,1
cool,adjective,0
cool,verb,3
cooler,noun,1
cooperate,verb,3
cooperation,noun,3
cooperative,adjective,3
cop,noun,0
cope,verb,3
copper,noun,3
copy,noun,0
copy,verb,1
copyright,noun,2
coral,noun,3
core,noun,3
corn,noun,0
corner,noun,0
cornerstone,noun,3
cornet,noun,3
corona,noun,3
corporal,adjective,3
corporate,adjective,3
corporation,noun,3
correct,adjective,0
correct,verb,3
correction,noun,2
correctly,adverb,1
correctness,noun,3
correspond,verb,3
correspondence,noun,3
correspondent,noun,3
corresponding,adjective,3
corridor,noun,3
corrupt,adjective,3
corruption,noun,3
cosiness,noun,3
cost,noun,1
cost,verb,1
costly,adjective,3
costume,noun,3
cosy,adjective,3
cottage,noun,3
cotton,noun,2
couch,noun,0
cough,noun,3
cough,verb,2
could,modal auxiliary,0
council,noun,2
counseling,noun,2
counselling,noun,2
count,noun,2
count,verb,1
counter,noun,3
counter,verb,2
countless,adjective,2
country,noun,1
countryman,noun,3
countryside,noun,1
countrywide,adjective,3
county,noun,2
couple,noun,1
courage,noun,2
courageous,adjective,2
courgette,noun,2
course,noun,0
